title,year,country,genres,time,new_genres
마거리트 트램,2018,한국,애니메이션/드라마/단편,6분,정보없음
할머니의 케이크,2018,한국,애니메이션/드라마/단편,4분,애니메이션
Soul,2020,미국,애니메이션/모험/가족/SF/판타지/코미디,1시간 40분,정보없음
바람의 언덕,2019,한국,드라마/가족,1시간 48분,정보없음
Blind,2007,"네덜란드,벨기에,불가리아",로맨스/드라마,1시간 38분,정보없음
Mr. Jones,2019,"폴란드,영국,우크라이나",드라마/스릴러,2시간 21분,정보없음
69세,2019,한국,드라마,1시간 37분,드라마
Girl,2018,"벨기에,네덜란드",드라마,1시간 49분,정보없음
I Am Love,2009,이탈리아,가족/드라마/로맨스,2시간 00분,드라마
The Two Popes,2019,"미국,영국,이탈리아,아르헨티나",드라마,2시간 5분,드라마
I'm Thinking of Ending Things,2020,미국,드라마/스릴러,2시간 14분,드라마
Woman On The Beach,2006,한국,드라마/로맨스,2시간 7분,드라마
Mes provinciales,2018,프랑스,드라마,2시간 16분,드라마
おくりびと,2008,일본,드라마/로맨스,2시간 10분,드라마
Ida,2013,"폴란드,덴마크,프랑스",드라마,1시간 22분,드라마
Undine,2020,"독일,프랑스",드라마/판타지/미스터리,1시간 32분,드라마
Été 85,2020,프랑스,드라마,1시간 40분,정보없음
Wonder Woman 1984,2020,"미국,영국,스페인",액션/모험/판타지,2시간 31분,액션
The Illusionist,2006,"미국,체코",드라마/판타지/역사/미스터리/로맨스/스릴러,1시간 48분,정보없음
Uncut Gems,2019,미국,코미디/범죄/미스터리,2시간 15분,코미디
Interstellar,2014,"미국,영국,캐나다",모험/드라마/SF,2시간 49분,SF
American Folk,2017,미국,드라마,1시간 39분,드라마
CURVE,2016,호주,공포/스릴러,11분,공포
첩첩산중,2009,한국,드라마,30분,한국
Frantz,2016,"프랑스,독일",드라마/역사/로맨스/전쟁,1시간 53분,드라마
최악의 하루,2016,한국,드라마/로맨스,1시간 33분,멜로/로맨스
Antiviral,2012,"캐나다,프랑스",공포/미스터리/SF/스릴러,1시간 48분,공포
Dangal,2016,인도,드라마/스포츠,2시간 41분,드라마
Hacksaw Ridge,2016,"호주,미국",드라마/역사/로맨스/전쟁,2시간 19분,드라마
Safe,2013,한국,드라마,13분,정보없음
Fatima,2020,"포르투갈,미국",드라마/전쟁,1시간 53분,드라마
Paprika,2006,일본,SF/애니메이션,1시간 30분,정보없음
Елена,2011,러시아,드라마,1시간 49분,정보없음
콜,2020,한국,스릴러,1시간 52분,미스터리
Bacurau,2019,브라질,드라마/미스터리/서부극,2시간 12분,미스터리
百円の恋,2014,일본,드라마/로맨스,1시간 53분,드라마
Film Stars Don't Die in Liverpool,2017,영국,드라마/로맨스,1시간 45분,드라마
Diego Maradona,2019,영국,다큐멘터리/스포츠,2시간 10분,다큐멘터리
이웃사촌,2020,한국,드라마/코미디,2시간 10분,드라마
Le scaphandre et le papillon,2007,"프랑스,미국",드라마,1시간 52분,드라마
The Commuter,2018,"영국,미국",액션/드라마/범죄,1시간 44분,액션
The Show Must Go on,2007,한국,범죄/액션/코미디/드라마,1시간 52분,정보없음
Little Boy,2015,"멕시코,미국",드라마/역사/전쟁/코미디,1시간 46분,드라마
Run,2020,"미국,캐나다",미스터리/스릴러,1시간 30분," <a href=""http://tvn.tving.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_000000A1C5E1&amp;u=' + urlencode(this.href));"">tvN</a> "
Antigone,2019,캐나다,드라마,1시간 49분,정보없음
Mank,2020,미국,드라마,2시간 11분,드라마
L'écume des jours,2013,"프랑스,벨기에",드라마/판타지/로맨스/코미디,1시간 35분,드라마
The Curious Case of Benjamin Button,2008,미국,판타지/로맨스/드라마,2시간 46분,판타지
King Arthur: Legend of the Sword,2017,"호주,미국",드라마/판타지/액션/모험,2시간 6분,액션
내가 죽던 날,2019,한국,드라마,1시간 56분,드라마
Bande de filles,2014,프랑스,드라마,1시간 52분,드라마
Kingdom of Heaven,2005,"영국,독일,스페인,모로코,미국,프랑스,이탈리아",액션/모험/드라마/역사/전쟁,2시간 17분,액션
유월,2018,한국,드라마,25분,드라마
도굴,2020,한국,범죄,1시간 54분,범죄
젊은이의 양지,2019,한국,드라마/미스터리,1시간 54분," <a href=""http://www.kbs.co.kr/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*K.sumchannel&amp;r=1&amp;i=00000012_0000000A1F5F&amp;u=' + urlencode(this.href));"">KBS2</a> "
Whiplash,2014,미국,드라마/음악,1시간 46분,드라마
Les filles du soleil,2018,"프랑스,벨기에,조지아,스위스",드라마/전쟁,1시간 55분,드라마
Martin Eden,2019,"이탈리아,프랑스,독일",드라마/로맨스,2시간 5분,드라마
소나기,2017,한국,애니메이션/단편/로맨스,48분," <a href=""http://www.kbs.co.kr/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*z.channel&amp;r=1&amp;i=00000012_0000000A298D&amp;u=' + urlencode(this.href));"">KBS2</a> "
A Dangerous Method,2011,"영국,독일,캐나다,스위스,미국",드라마/로맨스/스릴러,1시간 39분,드라마
Babyteeth,2019,호주,코미디/드라마/음악,2시간 00분,코미디
The Rider,2017,미국,드라마/서부극,1시간 43분,드라마
소리도 없이,2020,한국,범죄/드라마,1시간 39분,범죄
劇場前,2005,한국,드라마,1시간 29분,드라마
Tom à la ferme,2013,"프랑스,캐나다",드라마/미스터리/스릴러,1시간 42분,정보없음
The Trial of the Chicago 7,2020,미국,드라마/스릴러,2시간 9분,드라마
Frances Ha,2012,미국,코미디/드라마/로맨스,1시간 26분,코미디
